rand = 631, rand_cv = 7957
rand = 1674, rand_cv = 7921
rand = 4703, rand_cv = 4246
rand = 4941, rand_cv = 4931
rand = 302, rand_cv = 9369
rand = 6339, rand_cv = 4848
rand = 1906, rand_cv = 7517
rand = 6701, rand_cv = 2556
rand = 3069, rand_cv = 539
rand = 887, rand_cv = 9056
rand = 9905, rand_cv = 5892
rand = 5028, rand_cv = 5413
rand = 1042, rand_cv = 3074
rand = 7385, rand_cv = 1650
rand = 3173, rand_cv = 1170
rand = 5982, rand_cv = 5220
rand = 8691, rand_cv = 8136
rand = 4648, rand_cv = 2144
rand = 9669, rand_cv = 4406
rand = 2212, rand_cv = 2636
rand = 3355, rand_cv = 3062
rand = 3710, rand_cv = 2695
rand = 918, rand_cv = 7852
rand = 1492, rand_cv = 9321
rand = 3943, rand_cv = 3004
rand = 9147, rand_cv = 3765
rand = 5952, rand_cv = 9010
rand = 6904, rand_cv = 3341
rand = 8772, rand_cv = 7195
rand = 4297, rand_cv = 2259
rand = 1724, rand_cv = 3344
rand = 9215, rand_cv = 2649
rand = 3068, rand_cv = 124
rand = 5138, rand_cv = 5709
rand = 3102, rand_cv = 7267
rand = 7952, rand_cv = 9369
rand = 7294, rand_cv = 2660
rand = 5291, rand_cv = 5006
rand = 8505, rand_cv = 8076
rand = 1291, rand_cv = 8243
rand = 2879, rand_cv = 1096
rand = 1626, rand_cv = 7649
rand = 8123, rand_cv = 3538
rand = 5155, rand_cv = 8354
rand = 6009, rand_cv = 9214
rand = 8414, rand_cv = 5489
rand = 1752, rand_cv = 3363
rand = 85, rand_cv = 3180
rand = 8208, rand_cv = 6635
rand = 4826, rand_cv = 1166
rand = 1645, rand_cv = 2679
rand = 1287, rand_cv = 1586
rand = 8438, rand_cv = 9789
rand = 3187, rand_cv = 6635
rand = 4759, rand_cv = 2695
rand = 5391, rand_cv = 7159
rand = 9622, rand_cv = 1249
rand = 8053, rand_cv = 7834
rand = 6517, rand_cv = 1616
rand = 7004, rand_cv = 6073
rand = 6302, rand_cv = 5420
rand = 5373, rand_cv = 5134
rand = 8336, rand_cv = 6544
rand = 448, rand_cv = 1315
rand = 6048, rand_cv = 4643
rand = 5603, rand_cv = 5720
rand = 3045, rand_cv = 5814
rand = 5084, rand_cv = 2728
rand = 516, rand_cv = 7081
rand = 5601, rand_cv = 5733
rand = 9716, rand_cv = 371
rand = 1877, rand_cv = 298
rand = 7528, rand_cv = 3785
rand = 3724, rand_cv = 2866
rand = 4097, rand_cv = 344
rand = 2331, rand_cv = 4520
rand = 811, rand_cv = 7611
rand = 3426, rand_cv = 3715
rand = 2500, rand_cv = 7205
rand = 5609, rand_cv = 3360
rand = 7941, rand_cv = 997
rand = 7742, rand_cv = 1508
rand = 2690, rand_cv = 1435
rand = 8849, rand_cv = 6053
rand = 2345, rand_cv = 4057
rand = 2860, rand_cv = 6893
rand = 1267, rand_cv = 4441
rand = 1817, rand_cv = 248
rand = 2019, rand_cv = 9363
rand = 1553, rand_cv = 3157
rand = 4339, rand_cv = 7353
rand = 5758, rand_cv = 4839
rand = 5528, rand_cv = 7852
rand = 472, rand_cv = 539
rand = 2478, rand_cv = 1754
rand = 8771, rand_cv = 7630
rand = 1014, rand_cv = 1891
rand = 2106, rand_cv = 7954
rand = 3681, rand_cv = 3780
rand = 4719, rand_cv = 2858
rand = 8031, rand_cv = 4641
rand = 9251, rand_cv = 7921
rand = 3621, rand_cv = 8205
rand = 9494, rand_cv = 8359
rand = 2305, rand_cv = 6922
rand = 1677, rand_cv = 7713
rand = 7223, rand_cv = 3915
rand = 63, rand_cv = 4848
rand = 1089, rand_cv = 6636
rand = 7271, rand_cv = 7559
rand = 1618, rand_cv = 7289
rand = 3683, rand_cv = 9041
rand = 2940, rand_cv = 5899
rand = 9934, rand_cv = 4280
rand = 3382, rand_cv = 1403
rand = 5363, rand_cv = 9367
rand = 7740, rand_cv = 3256
rand = 2777, rand_cv = 405
rand = 4114, rand_cv = 9688
rand = 2332, rand_cv = 344
rand = 6695, rand_cv = 7996
rand = 8632, rand_cv = 8682
rand = 1147, rand_cv = 792
rand = 9231, rand_cv = 64
rand = 1407, rand_cv = 238
rand = 1618, rand_cv = 4482
rand = 5135, rand_cv = 2144
rand = 5875, rand_cv = 7712
rand = 345, rand_cv = 6684
rand = 2605, rand_cv = 3613
rand = 2590, rand_cv = 4814
rand = 1419, rand_cv = 4695
rand = 8970, rand_cv = 653
rand = 5300, rand_cv = 1426
rand = 5262, rand_cv = 6320
rand = 3416, rand_cv = 7611
rand = 9725, rand_cv = 8361
rand = 2037, rand_cv = 4764
rand = 2091, rand_cv = 8446
rand = 5875, rand_cv = 9990
rand = 8361, rand_cv = 4637
rand = 2717, rand_cv = 1336
rand = 5540, rand_cv = 9284
rand = 9889, rand_cv = 2066
rand = 3543, rand_cv = 1696
rand = 5930, rand_cv = 298
rand = 9187, rand_cv = 7625
rand = 7319, rand_cv = 2181
rand = 6426, rand_cv = 6684
rand = 9652, rand_cv = 8097
rand = 6173, rand_cv = 5490
rand = 5550, rand_cv = 7109
rand = 3734, rand_cv = 3855
rand = 4647, rand_cv = 7992
rand = 7378, rand_cv = 9576
rand = 1604, rand_cv = 1982
rand = 3499, rand_cv = 7852
rand = 7884, rand_cv = 534
rand = 2263, rand_cv = 7510
rand = 9719, rand_cv = 9004
rand = 8883, rand_cv = 124
rand = 5787, rand_cv = 6007
rand = 6003, rand_cv = 5187
rand = 8325, rand_cv = 824
rand = 2815, rand_cv = 8682
rand = 7766, rand_cv = 2403
rand = 1261, rand_cv = 3631
rand = 8600, rand_cv = 6809
rand = 4618, rand_cv = 930
rand = 1982, rand_cv = 2858
rand = 2602, rand_cv = 9612
rand = 1977, rand_cv = 9605
rand = 3216, rand_cv = 6167
rand = 6323, rand_cv = 5831
rand = 8622, rand_cv = 6723
rand = 850, rand_cv = 2363
rand = 1507, rand_cv = 3838
rand = 9924, rand_cv = 1912
rand = 5512, rand_cv = 5277
rand = 3161, rand_cv = 9227
rand = 9043, rand_cv = 2654
rand = 780, rand_cv = 682
rand = 9242, rand_cv = 1877
rand = 1597, rand_cv = 7157
rand = 7971, rand_cv = 4307
rand = 5994, rand_cv = 4701
rand = 4469, rand_cv = 3552
rand = 8305, rand_cv = 6894
rand = 7560, rand_cv = 8752
rand = 3168, rand_cv = 4384
rand = 419, rand_cv = 6966
rand = 251, rand_cv = 6926
rand = 7333, rand_cv = 2673
rand = 3933, rand_cv = 6684
rand = 5092, rand_cv = 4479
rand = 9227, rand_cv = 3634
rand = 9840, rand_cv = 6785
rand = 5472, rand_cv = 345
rand = 6458, rand_cv = 129
rand = 2030, rand_cv = 6167
rand = 1776, rand_cv = 5814
rand = 5717, rand_cv = 2233
rand = 5449, rand_cv = 5560
rand = 8317, rand_cv = 49
rand = 7740, rand_cv = 5690
rand = 7266, rand_cv = 8328
rand = 7968, rand_cv = 5336
rand = 5614, rand_cv = 4778
rand = 7538, rand_cv = 467
rand = 140, rand_cv = 9638
rand = 3930, rand_cv = 8704
rand = 6015, rand_cv = 5220
rand = 7388, rand_cv = 6600
rand = 3403, rand_cv = 7559
rand = 6539, rand_cv = 8525
rand = 1129, rand_cv = 3496
rand = 6747, rand_cv = 4459
rand = 6210, rand_cv = 555
rand = 755, rand_cv = 5715
rand = 1963, rand_cv = 7129
rand = 6304, rand_cv = 7647
rand = 4858, rand_cv = 32
rand = 3960, rand_cv = 5668
rand = 4688, rand_cv = 5476
rand = 5104, rand_cv = 9629
rand = 1700, rand_cv = 6148
rand = 555, rand_cv = 5034
rand = 9669, rand_cv = 298
rand = 6956, rand_cv = 2146
rand = 2566, rand_cv = 9390
rand = 6334, rand_cv = 8516
rand = 3715, rand_cv = 8464
rand = 937, rand_cv = 997
rand = 6598, rand_cv = 1758
rand = 2501, rand_cv = 1701
rand = 1707, rand_cv = 1246
rand = 779, rand_cv = 7475
rand = 1282, rand_cv = 7159
rand = 1011, rand_cv = 1306
rand = 2968, rand_cv = 6911
rand = 8651, rand_cv = 9096
rand = 5013, rand_cv = 6356
rand = 9725, rand_cv = 2296
rand = 9569, rand_cv = 3287
rand = 239, rand_cv = 9831
rand = 7011, rand_cv = 6893
rand = 5359, rand_cv = 2517
rand = 2705, rand_cv = 9004
rand = 4354, rand_cv = 6320
rand = 2150, rand_cv = 8525
rand = 4914, rand_cv = 7119
rand = 4149, rand_cv = 3792
rand = 8275, rand_cv = 9612
rand = 7386, rand_cv = 3538
rand = 488, rand_cv = 9291
rand = 4190, rand_cv = 3137
rand = 9542, rand_cv = 7921
rand = 2614, rand_cv = 7590
rand = 9290, rand_cv = 3547
rand = 5438, rand_cv = 4382
rand = 1000, rand_cv = 9269
rand = 7982, rand_cv = 2232
rand = 9655, rand_cv = 9638
rand = 7506, rand_cv = 4143
rand = 7402, rand_cv = 7852
rand = 3498, rand_cv = 4426
rand = 9574, rand_cv = 8776
rand = 287, rand_cv = 5493
rand = 9414, rand_cv = 8249
rand = 9702, rand_cv = 6767
rand = 3182, rand_cv = 7834
rand = 4995, rand_cv = 278
rand = 3605, rand_cv = 9010
rand = 2827, rand_cv = 9299
rand = 6910, rand_cv = 5129
rand = 3336, rand_cv = 4843
rand = 2369, rand_cv = 1009
rand = 6245, rand_cv = 3915
rand = 5046, rand_cv = 8178
rand = 8155, rand_cv = 7313
rand = 599, rand_cv = 467
rand = 4359, rand_cv = 3547
rand = 7128, rand_cv = 6492
rand = 2012, rand_cv = 6743
rand = 8045, rand_cv = 6893
rand = 84, rand_cv = 3455
rand = 626, rand_cv = 8240
rand = 3645, rand_cv = 3554
rand = 501, rand_cv = 1092
rand = 1480, rand_cv = 79
rand = 8595, rand_cv = 371
rand = 8890, rand_cv = 7996
rand = 6715, rand_cv = 6354
rand = 9880, rand_cv = 5732
rand = 952, rand_cv = 581
rand = 6148, rand_cv = 9353
rand = 5195, rand_cv = 4345
rand = 7258, rand_cv = 6604
rand = 755, rand_cv = 3494
rand = 3318, rand_cv = 9161
rand = 1389, rand_cv = 4497
rand = 4462, rand_cv = 4790
rand = 178, rand_cv = 2656
rand = 64, rand_cv = 226
rand = 1972, rand_cv = 9950
rand = 5697, rand_cv = 3351
rand = 2545, rand_cv = 9667
rand = 1885, rand_cv = 5719
rand = 1670, rand_cv = 6978
rand = 5746, rand_cv = 1754
rand = 7493, rand_cv = 3634
rand = 9260, rand_cv = 5733
rand = 553, rand_cv = 8320
rand = 7638, rand_cv = 3032
rand = 6930, rand_cv = 1189
rand = 1381, rand_cv = 9291
rand = 1598, rand_cv = 2654
rand = 5825, rand_cv = 1906
rand = 8154, rand_cv = 6981
rand = 1989, rand_cv = 6522
rand = 8628, rand_cv = 5489
rand = 6877, rand_cv = 5224
rand = 3507, rand_cv = 7712
rand = 575, rand_cv = 6977
rand = 7283, rand_cv = 1882
rand = 4265, rand_cv = 1170
rand = 8592, rand_cv = 1758
rand = 2894, rand_cv = 278
rand = 8802, rand_cv = 9208
rand = 7650, rand_cv = 1493
rand = 4215, rand_cv = 4057
rand = 7685, rand_cv = 4641
rand = 679, rand_cv = 411
rand = 2225, rand_cv = 5034
rand = 442, rand_cv = 3455
rand = 1745, rand_cv = 7060
rand = 4201, rand_cv = 8406
rand = 5726, rand_cv = 6052
rand = 9133, rand_cv = 5395
rand = 3461, rand_cv = 1982
rand = 2232, rand_cv = 3011
rand = 3769, rand_cv = 7637
rand = 1410, rand_cv = 1720
rand = 9178, rand_cv = 6778
rand = 7576, rand_cv = 7506
rand = 368, rand_cv = 4945
rand = 3491, rand_cv = 847
rand = 623, rand_cv = 4024
rand = 7337, rand_cv = 20
rand = 9693, rand_cv = 9989
rand = 9496, rand_cv = 1435
rand = 1392, rand_cv = 5720
rand = 9870, rand_cv = 4462
rand = 3755, rand_cv = 6794
rand = 429, rand_cv = 9438
rand = 8386, rand_cv = 1891
rand = 9045, rand_cv = 7697
rand = 3397, rand_cv = 8239
rand = 6924, rand_cv = 4856
rand = 31, rand_cv = 6451
rand = 3169, rand_cv = 7625
rand = 3588, rand_cv = 8907
rand = 5115, rand_cv = 6782
rand = 6763, rand_cv = 9053
rand = 7735, rand_cv = 6427
rand = 3597, rand_cv = 8768
rand = 7436, rand_cv = 344
rand = 269, rand_cv = 3011
rand = 7068, rand_cv = 3510
rand = 9859, rand_cv = 8525
rand = 6333, rand_cv = 4038
rand = 5672, rand_cv = 9291
rand = 6322, rand_cv = 2042
rand = 9828, rand_cv = 248
rand = 7060, rand_cv = 2530
rand = 5170, rand_cv = 3805
rand = 9389, rand_cv = 4024
rand = 5859, rand_cv = 8104
rand = 9714, rand_cv = 9782
rand = 1095, rand_cv = 3838
rand = 2219, rand_cv = 3765
rand = 6294, rand_cv = 2393
rand = 65, rand_cv = 9305
rand = 9523, rand_cv = 2673
rand = 2660, rand_cv = 8153
rand = 2176, rand_cv = 9010
rand = 4708, rand_cv = 9125
rand = 6053, rand_cv = 1936
rand = 713, rand_cv = 1009
rand = 3553, rand_cv = 5129
rand = 5074, rand_cv = 6069
rand = 4777, rand_cv = 3644
rand = 9759, rand_cv = 3644
rand = 512, rand_cv = 888
rand = 4707, rand_cv = 5220
rand = 3999, rand_cv = 872
rand = 6083, rand_cv = 1896
rand = 3022, rand_cv = 175
rand = 2421, rand_cv = 7241
rand = 7137, rand_cv = 6966
rand = 4019, rand_cv = 1639
rand = 915, rand_cv = 9010
rand = 4815, rand_cv = 4778
rand = 8333, rand_cv = 3765
rand = 5877, rand_cv = 7921
rand = 6469, rand_cv = 6604
rand = 9943, rand_cv = 8625
rand = 6881, rand_cv = 9291
rand = 237, rand_cv = 4038
rand = 9184, rand_cv = 7996
rand = 8894, rand_cv = 5715
rand = 1656, rand_cv = 3555
rand = 9163, rand_cv = 5134
rand = 2200, rand_cv = 2832
rand = 1496, rand_cv = 9347
rand = 3964, rand_cv = 1166
rand = 9870, rand_cv = 6356
rand = 4120, rand_cv = 3510
rand = 1491, rand_cv = 5134
rand = 8728, rand_cv = 1791
rand = 7220, rand_cv = 1306
rand = 5919, rand_cv = 7611
rand = 4046, rand_cv = 2895
rand = 7932, rand_cv = 4105
rand = 1345, rand_cv = 5733
rand = 6690, rand_cv = 3417
rand = 1456, rand_cv = 3476
rand = 1520, rand_cv = 6979
rand = 2216, rand_cv = 4075
rand = 5113, rand_cv = 9208
rand = 2360, rand_cv = 371
rand = 9429, rand_cv = 5220
rand = 9052, rand_cv = 8704
rand = 266, rand_cv = 5107
rand = 1753, rand_cv = 4459
rand = 1888, rand_cv = 8658
rand = 1465, rand_cv = 5835
rand = 4122, rand_cv = 2069
rand = 7605, rand_cv = 5004
rand = 2155, rand_cv = 4526
rand = 142, rand_cv = 5684
rand = 6820, rand_cv = 7996
rand = 3420, rand_cv = 2566
rand = 8175, rand_cv = 5758
rand = 3426, rand_cv = 4740
rand = 496, rand_cv = 1352
rand = 9418, rand_cv = 7892
rand = 1868, rand_cv = 7303
rand = 5161, rand_cv = 9789
rand = 3812, rand_cv = 6977
rand = 162, rand_cv = 7611
rand = 7416, rand_cv = 6492
rand = 7216, rand_cv = 4057
rand = 8167, rand_cv = 5134
rand = 9298, rand_cv = 4431
rand = 880, rand_cv = 5892
rand = 75, rand_cv = 3692
rand = 6241, rand_cv = 1103
rand = 3067, rand_cv = 9305
rand = 8234, rand_cv = 3366
rand = 6662, rand_cv = 2728
rand = 9778, rand_cv = 9797
rand = 6581, rand_cv = 825
rand = 6932, rand_cv = 210
rand = 9457, rand_cv = 1665
rand = 7831, rand_cv = 7242
rand = 9375, rand_cv = 1261
rand = 1284, rand_cv = 5930
rand = 5933, rand_cv = 5295
rand = 2797, rand_cv = 1336
rand = 6030, rand_cv = 419
rand = 6442, rand_cv = 4863
rand = 8385, rand_cv = 9385
rand = 5920, rand_cv = 6155
rand = 1252, rand_cv = 8530
rand = 1372, rand_cv = 4385
rand = 1414, rand_cv = 7510
rand = 5177, rand_cv = 8547
rand = 2926, rand_cv = 7838
rand = 1937, rand_cv = 6615
rand = 1052, rand_cv = 8205
rand = 5969, rand_cv = 5401
rand = 9748, rand_cv = 5732
rand = 5166, rand_cv = 298
rand = 4199, rand_cv = 3137
rand = 1867, rand_cv = 6051
rand = 1245, rand_cv = 2855
rand = 4611, rand_cv = 2233
rand = 2717, rand_cv = 1877
rand = 1834, rand_cv = 7010
rand = 158, rand_cv = 7996
rand = 8071, rand_cv = 5132
rand = 6887, rand_cv = 4127
rand = 3478, rand_cv = 5284
rand = 1786, rand_cv = 175
rand = 949, rand_cv = 7936
rand = 607, rand_cv = 3417
rand = 8891, rand_cv = 4931
rand = 9221, rand_cv = 4856
rand = 4627, rand_cv = 5784
rand = 1413, rand_cv = 676
rand = 2036, rand_cv = 1794
rand = 6805, rand_cv = 9688
rand = 7809, rand_cv = 8634
rand = 9066, rand_cv = 6807
rand = 4538, rand_cv = 6833
rand = 57, rand_cv = 2259
rand = 7834, rand_cv = 1038
rand = 9531, rand_cv = 1725
rand = 3665, rand_cv = 298
rand = 7268, rand_cv = 6635
rand = 386, rand_cv = 4742
rand = 2998, rand_cv = 7734
rand = 8633, rand_cv = 4105
rand = 1508, rand_cv = 8177
rand = 9348, rand_cv = 8178
rand = 4806, rand_cv = 7609
rand = 3466, rand_cv = 3644
rand = 5479, rand_cv = 9369
rand = 3956, rand_cv = 248
rand = 5554, rand_cv = 4934
rand = 2317, rand_cv = 1983
rand = 4861, rand_cv = 6922
rand = 5208, rand_cv = 3707
rand = 7891, rand_cv = 8768
rand = 9877, rand_cv = 344
rand = 5775, rand_cv = 2832
rand = 3874, rand_cv = 4057
rand = 5106, rand_cv = 3554
rand = 5996, rand_cv = 4253
rand = 4624, rand_cv = 157
rand = 166, rand_cv = 8639
rand = 3405, rand_cv = 7267
rand = 8326, rand_cv = 5113
rand = 2891, rand_cv = 7516
rand = 2594, rand_cv = 5453
rand = 8280, rand_cv = 3557
rand = 7603, rand_cv = 6148
rand = 8804, rand_cv = 7497
rand = 6839, rand_cv = 508
rand = 4463, rand_cv = 278
rand = 9201, rand_cv = 8752
rand = 7785, rand_cv = 4105
rand = 3707, rand_cv = 2728
rand = 3227, rand_cv = 7625
rand = 1858, rand_cv = 9667
rand = 4898, rand_cv = 1657
rand = 4493, rand_cv = 3758
rand = 3456, rand_cv = 9819
rand = 6413, rand_cv = 3915
rand = 8853, rand_cv = 8516
rand = 8679, rand_cv = 2098
rand = 4685, rand_cv = 5779
rand = 1426, rand_cv = 659
rand = 6859, rand_cv = 6794
rand = 483, rand_cv = 1384
rand = 4386, rand_cv = 8603
rand = 4614, rand_cv = 4143
rand = 7736, rand_cv = 9540
rand = 7731, rand_cv = 3555
rand = 4317, rand_cv = 7611
rand = 2944, rand_cv = 474
rand = 865, rand_cv = 5336
rand = 9048, rand_cv = 5344
rand = 5701, rand_cv = 9633
rand = 1440, rand_cv = 6007
rand = 1793, rand_cv = 7516
rand = 9595, rand_cv = 298
rand = 4285, rand_cv = 2205
rand = 546, rand_cv = 8076
rand = 1589, rand_cv = 3715
rand = 2574, rand_cv = 7098
rand = 8728, rand_cv = 889
rand = 950, rand_cv = 2656
rand = 8986, rand_cv = 7073
rand = 7865, rand_cv = 5246
rand = 1554, rand_cv = 8525
rand = 3438, rand_cv = 2296
rand = 9822, rand_cv = 8754
rand = 2456, rand_cv = 8611
rand = 6062, rand_cv = 3137
rand = 7081, rand_cv = 5226
rand = 3334, rand_cv = 6236
rand = 392, rand_cv = 5343
rand = 4703, rand_cv = 9284
rand = 8030, rand_cv = 6354
rand = 4495, rand_cv = 8153
rand = 9914, rand_cv = 4497
rand = 2703, rand_cv = 3644
rand = 7825, rand_cv = 2831
rand = 1284, rand_cv = 4530
rand = 4450, rand_cv = 210
rand = 4382, rand_cv = 6167
rand = 3158, rand_cv = 3487
rand = 6981, rand_cv = 9176
rand = 4530, rand_cv = 2232
rand = 4249, rand_cv = 8785
rand = 566, rand_cv = 7547
rand = 1504, rand_cv = 4386
rand = 5438, rand_cv = 7271
rand = 3770, rand_cv = 1009
rand = 3849, rand_cv = 997
rand = 3165, rand_cv = 248
rand = 219, rand_cv = 8776
rand = 718, rand_cv = 6451
rand = 778, rand_cv = 4105
rand = 1503, rand_cv = 9576
rand = 4269, rand_cv = 4778
rand = 6138, rand_cv = 8422
rand = 7709, rand_cv = 5807
rand = 6434, rand_cv = 2960
rand = 3442, rand_cv = 930
rand = 8695, rand_cv = 3555
rand = 8344, rand_cv = 2895
rand = 2329, rand_cv = 3065
rand = 4114, rand_cv = 8525
rand = 3379, rand_cv = 3646
rand = 6648, rand_cv = 146
rand = 4455, rand_cv = 9291
rand = 8192, rand_cv = 2822
rand = 2922, rand_cv = 8249
rand = 5385, rand_cv = 5719
rand = 2084, rand_cv = 504
rand = 420, rand_cv = 3956
rand = 2283, rand_cv = 2530
rand = 6675, rand_cv = 7780
rand = 3863, rand_cv = 9291
rand = 9613, rand_cv = 6782
rand = 797, rand_cv = 8033
rand = 7919, rand_cv = 5852
rand = 3417, rand_cv = 7772
rand = 4867, rand_cv = 4520
rand = 1699, rand_cv = 5336
rand = 930, rand_cv = 5238
rand = 752, rand_cv = 8080
rand = 728, rand_cv = 4165
rand = 9813, rand_cv = 3287
rand = 4180, rand_cv = 7356
rand = 5206, rand_cv = 2636
rand = 3200, rand_cv = 345
rand = 1713, rand_cv = 7738
rand = 4137, rand_cv = 2895
rand = 981, rand_cv = 1709
rand = 3030, rand_cv = 3644

__________NEW____________
