rand = 2439, rand_cv = 4026
rand = 3266, rand_cv = 3646
rand = 4041, rand_cv = 1941
rand = 4681, rand_cv = 2111
rand = 3933, rand_cv = 4701
rand = 3321, rand_cv = 3805
rand = 915, rand_cv = 124
rand = 3143, rand_cv = 3366
rand = 3793, rand_cv = 2104
rand = 3550, rand_cv = 3692
rand = 412, rand_cv = 4039
rand = 664, rand_cv = 467
rand = 2487, rand_cv = 1812
rand = 380, rand_cv = 555
rand = 636, rand_cv = 907
rand = 3606, rand_cv = 4497
rand = 624, rand_cv = 3496
rand = 3787, rand_cv = 4189
rand = 1484, rand_cv = 1096
rand = 828, rand_cv = 521
rand = 1897, rand_cv = 839
rand = 2663, rand_cv = 2728
rand = 4927, rand_cv = 1891
rand = 2839, rand_cv = 581
rand = 2752, rand_cv = 2656
rand = 1672, rand_cv = 4695
rand = 3322, rand_cv = 3032
rand = 3564, rand_cv = 3855
rand = 3490, rand_cv = 12
rand = 3489, rand_cv = 1375
rand = 4266, rand_cv = 2673
rand = 3683, rand_cv = 1189
rand = 4376, rand_cv = 3765
rand = 687, rand_cv = 2066
rand = 2189, rand_cv = 1102
rand = 4720, rand_cv = 2259
rand = 4554, rand_cv = 3057
rand = 4522, rand_cv = 653
rand = 3779, rand_cv = 3845
rand = 483, rand_cv = 4280
rand = 2128, rand_cv = 3855
rand = 2324, rand_cv = 1186
rand = 4127, rand_cv = 1758
rand = 3738, rand_cv = 2051
rand = 3483, rand_cv = 4577
rand = 1834, rand_cv = 4814
rand = 4371, rand_cv = 1385
rand = 4778, rand_cv = 404
rand = 4807, rand_cv = 3032
rand = 2237, rand_cv = 4024
rand = 1207, rand_cv = 1681
rand = 1884, rand_cv = 4127
rand = 1560, rand_cv = 3295
rand = 521, rand_cv = 356
rand = 635, rand_cv = 3256
rand = 3095, rand_cv = 4577
rand = 576, rand_cv = 2654
rand = 3591, rand_cv = 3644
rand = 4179, rand_cv = 909
rand = 1874, rand_cv = 4295
rand = 2906, rand_cv = 1441
rand = 4873, rand_cv = 198
rand = 4964, rand_cv = 2656
rand = 2450, rand_cv = 124
rand = 1113, rand_cv = 4155
rand = 3403, rand_cv = 4520
rand = 3457, rand_cv = 3644
rand = 2186, rand_cv = 3950
rand = 2905, rand_cv = 3145
rand = 1534, rand_cv = 4845
rand = 741, rand_cv = 4814
rand = 614, rand_cv = 728
rand = 476, rand_cv = 601
rand = 4645, rand_cv = 2111
rand = 2183, rand_cv = 32
rand = 3266, rand_cv = 4520
rand = 3971, rand_cv = 2233
rand = 760, rand_cv = 3555
rand = 4698, rand_cv = 2054
rand = 1657, rand_cv = 4057
rand = 885, rand_cv = 419
rand = 769, rand_cv = 4189
rand = 1001, rand_cv = 2144
rand = 709, rand_cv = 2654
rand = 4131, rand_cv = 12
rand = 1406, rand_cv = 1441
rand = 191, rand_cv = 1096
rand = 3071, rand_cv = 1681
rand = 1148, rand_cv = 4442
rand = 1340, rand_cv = 2147
rand = 1880, rand_cv = 1375
rand = 3399, rand_cv = 3332
rand = 1417, rand_cv = 1560
rand = 96, rand_cv = 4845
rand = 248, rand_cv = 3062
rand = 4931, rand_cv = 4159
rand = 1098, rand_cv = 4105
rand = 944, rand_cv = 4049
rand = 3981, rand_cv = 3981
rand = 1237, rand_cv = 4386
rand = 2199, rand_cv = 2686
rand = 2322, rand_cv = 1170
rand = 2766, rand_cv = 1812
rand = 4204, rand_cv = 157
rand = 1335, rand_cv = 4712
rand = 3556, rand_cv = 1912
rand = 2957, rand_cv = 3366
rand = 1961, rand_cv = 4713
rand = 1711, rand_cv = 4713
rand = 1221, rand_cv = 2066
rand = 2154, rand_cv = 88
rand = 826, rand_cv = 993
rand = 2579, rand_cv = 2066
rand = 3299, rand_cv = 4295
rand = 1590, rand_cv = 4843
rand = 3500, rand_cv = 394
rand = 1122, rand_cv = 183
rand = 4856, rand_cv = 2660
rand = 4846, rand_cv = 350
rand = 2725, rand_cv = 4023
rand = 489, rand_cv = 1375
rand = 1635, rand_cv = 3062

__________NEW____________
rand = 3550, rand_cv = 4057
rand = 3689, rand_cv = 1912
rand = 4896, rand_cv = 3555
rand = 2935, rand_cv = 3981
rand = 3371, rand_cv = 1791
rand = 2459, rand_cv = 4181
rand = 2078, rand_cv = 1331
rand = 4307, rand_cv = 405
rand = 1767, rand_cv = 4526
rand = 3533, rand_cv = 4459
rand = 4741, rand_cv = 3644
rand = 3381, rand_cv = 2066
rand = 2332, rand_cv = 3680
rand = 2595, rand_cv = 3219
rand = 3660, rand_cv = 4105
rand = 3054, rand_cv = 653
rand = 525, rand_cv = 3765
rand = 2878, rand_cv = 1964
rand = 5, rand_cv = 157
rand = 619, rand_cv = 555
rand = 1698, rand_cv = 4497
rand = 2827, rand_cv = 1754
rand = 3105, rand_cv = 2832
rand = 2727, rand_cv = 4854
rand = 2615, rand_cv = 1791
rand = 3124, rand_cv = 1103
rand = 124, rand_cv = 1170
rand = 3799, rand_cv = 1877
rand = 2922, rand_cv = 4497
rand = 2820, rand_cv = 2066
rand = 2618, rand_cv = 2673
rand = 3089, rand_cv = 3646
rand = 3730, rand_cv = 3366
rand = 3256, rand_cv = 448
rand = 2564, rand_cv = 4845
rand = 4183, rand_cv = 2051
rand = 499, rand_cv = 2088
rand = 4779, rand_cv = 3062
rand = 1147, rand_cv = 3981
rand = 3387, rand_cv = 124
rand = 3504, rand_cv = 3032
rand = 4219, rand_cv = 4105
rand = 35, rand_cv = 2233
rand = 3061, rand_cv = 1912
rand = 2744, rand_cv = 2393
rand = 3689, rand_cv = 4843
rand = 1152, rand_cv = 552
rand = 1758, rand_cv = 1435
rand = 3377, rand_cv = 4759
rand = 3285, rand_cv = 3510
rand = 2132, rand_cv = 2021
rand = 594, rand_cv = 3293
rand = 4234, rand_cv = 3496
rand = 728, rand_cv = 1403
rand = 1786, rand_cv = 1964
rand = 4608, rand_cv = 3004
rand = 2918, rand_cv = 20
rand = 2042, rand_cv = 4934
rand = 897, rand_cv = 278
rand = 4829, rand_cv = 957
rand = 2375, rand_cv = 32
rand = 341, rand_cv = 3915
rand = 4543, rand_cv = 397
rand = 4350, rand_cv = 4778
rand = 2596, rand_cv = 4713
rand = 3967, rand_cv = 4848
rand = 1190, rand_cv = 248
rand = 4315, rand_cv = 1108
rand = 3054, rand_cv = 4097
rand = 4780, rand_cv = 4814
rand = 4829, rand_cv = 345
rand = 3294, rand_cv = 601
rand = 3964, rand_cv = 1618
rand = 2307, rand_cv = 146
rand = 2223, rand_cv = 3758
rand = 4637, rand_cv = 3256
rand = 1391, rand_cv = 4194
rand = 26, rand_cv = 944
rand = 1151, rand_cv = 3845
rand = 2815, rand_cv = 175
rand = 2009, rand_cv = 1891
rand = 3915, rand_cv = 3242
rand = 3555, rand_cv = 353
rand = 3346, rand_cv = 3538
rand = 291, rand_cv = 1964
rand = 2626, rand_cv = 1336
rand = 852, rand_cv = 1291
rand = 2144, rand_cv = 1009
rand = 3987, rand_cv = 1754
rand = 3390, rand_cv = 824
rand = 1542, rand_cv = 1933
rand = 116, rand_cv = 344
rand = 1998, rand_cv = 4054
rand = 288, rand_cv = 3733
rand = 1123, rand_cv = 1877
rand = 2827, rand_cv = 1912
rand = 3391, rand_cv = 4641
rand = 4819, rand_cv = 1877
rand = 2335, rand_cv = 4024
rand = 2389, rand_cv = 4848
rand = 4843, rand_cv = 848
rand = 1920, rand_cv = 157
rand = 486, rand_cv = 4520
rand = 4647, rand_cv = 2556
rand = 1129, rand_cv = 4764
rand = 135, rand_cv = 4497
rand = 1682, rand_cv = 1896
rand = 849, rand_cv = 1618
rand = 3665, rand_cv = 4026
rand = 4814, rand_cv = 4189
rand = 869, rand_cv = 993
rand = 2814, rand_cv = 4776
rand = 4285, rand_cv = 3332
rand = 2857, rand_cv = 555
rand = 3454, rand_cv = 1306
rand = 3504, rand_cv = 3981
rand = 1776, rand_cv = 1291
rand = 4080, rand_cv = 1944
rand = 1521, rand_cv = 3646
rand = 626, rand_cv = 1108
rand = 4640, rand_cv = 762
rand = 828, rand_cv = 187
rand = 3606, rand_cv = 1375
rand = 992, rand_cv = 3344
rand = 457, rand_cv = 3344
rand = 2745, rand_cv = 4105
rand = 1935, rand_cv = 248
rand = 1017, rand_cv = 20
rand = 3453, rand_cv = 2111
rand = 4726, rand_cv = 1613
rand = 2561, rand_cv = 344
rand = 2289, rand_cv = 3855
rand = 765, rand_cv = 792
rand = 1282, rand_cv = 4814
rand = 1798, rand_cv = 3032
rand = 1374, rand_cv = 1102
rand = 1983, rand_cv = 4
rand = 3342, rand_cv = 3981
rand = 1910, rand_cv = 208
rand = 4955, rand_cv = 552
rand = 1262, rand_cv = 3715
rand = 4070, rand_cv = 2066
rand = 4570, rand_cv = 1896
rand = 1858, rand_cv = 400
rand = 3370, rand_cv = 1704
rand = 526, rand_cv = 1306
rand = 733, rand_cv = 676
rand = 303, rand_cv = 561
rand = 2644, rand_cv = 2259
rand = 820, rand_cv = 124
rand = 1033, rand_cv = 1906
rand = 968, rand_cv = 581
rand = 4060, rand_cv = 4024
rand = 507, rand_cv = 1435
rand = 3860, rand_cv = 1306
rand = 2026, rand_cv = 1947
rand = 2096, rand_cv = 3344
rand = 2929, rand_cv = 64
rand = 3737, rand_cv = 446
rand = 4635, rand_cv = 4345
rand = 3669, rand_cv = 2728
rand = 617, rand_cv = 3762
rand = 1525, rand_cv = 1791
rand = 336, rand_cv = 1112
rand = 3631, rand_cv = 1586
rand = 3247, rand_cv = 4814
rand = 2629, rand_cv = 371
rand = 3036, rand_cv = 1933
rand = 4892, rand_cv = 3915
rand = 1278, rand_cv = 3845
rand = 1385, rand_cv = 1306
rand = 1642, rand_cv = 235
rand = 2693, rand_cv = 4306
rand = 3514, rand_cv = 2403
rand = 942, rand_cv = 3363
rand = 2274, rand_cv = 3386
rand = 1955, rand_cv = 4854
rand = 2428, rand_cv = 3496
rand = 1168, rand_cv = 3032
rand = 2950, rand_cv = 64
rand = 282, rand_cv = 4795
rand = 1887, rand_cv = 1912
rand = 674, rand_cv = 773
rand = 4693, rand_cv = 997
rand = 3981, rand_cv = 4814
rand = 882, rand_cv = 1331
rand = 1859, rand_cv = 405
rand = 4970, rand_cv = 2104
rand = 452, rand_cv = 4206
rand = 36, rand_cv = 4712
rand = 4126, rand_cv = 2147
rand = 1486, rand_cv = 3646
rand = 1639, rand_cv = 64
rand = 4750, rand_cv = 198
rand = 1479, rand_cv = 1102
rand = 1703, rand_cv = 2104
rand = 2157, rand_cv = 208
rand = 371, rand_cv = 397
rand = 3440, rand_cv = 4713
rand = 2542, rand_cv = 3004
rand = 1660, rand_cv = 4854
rand = 2907, rand_cv = 3547
rand = 3799, rand_cv = 4845
rand = 4579, rand_cv = 581
rand = 2788, rand_cv = 1947
rand = 1440, rand_cv = 4054
rand = 4717, rand_cv = 3785
rand = 918, rand_cv = 1618
rand = 3463, rand_cv = 4143
rand = 4759, rand_cv = 3855
rand = 4368, rand_cv = 4643
rand = 4693, rand_cv = 2152
rand = 2860, rand_cv = 881
rand = 2522, rand_cv = 4057
rand = 1860, rand_cv = 1403
rand = 3225, rand_cv = 4843
rand = 2925, rand_cv = 3219
rand = 22, rand_cv = 3268
rand = 558, rand_cv = 414
rand = 516, rand_cv = 2066
rand = 714, rand_cv = 3555
rand = 868, rand_cv = 3366
rand = 1449, rand_cv = 1681
rand = 4260, rand_cv = 356
rand = 754, rand_cv = 3417
rand = 507, rand_cv = 4146
rand = 886, rand_cv = 467
rand = 4206, rand_cv = 1912
rand = 1328, rand_cv = 1891
rand = 2665, rand_cv = 4712
rand = 535, rand_cv = 2522
rand = 3895, rand_cv = 2393
rand = 4765, rand_cv = 1941
rand = 2188, rand_cv = 2624
rand = 1950, rand_cv = 4193
rand = 260, rand_cv = 146
rand = 2357, rand_cv = 4143
rand = 4143, rand_cv = 27
rand = 2020, rand_cv = 931
rand = 2240, rand_cv = 555
rand = 1060, rand_cv = 1096
rand = 2928, rand_cv = 1336
rand = 1199, rand_cv = 4039
rand = 470, rand_cv = 4497
rand = 1941, rand_cv = 3715
rand = 693, rand_cv = 1306
rand = 480, rand_cv = 278
rand = 1183, rand_cv = 4641
rand = 3617, rand_cv = 4186
rand = 4828, rand_cv = 4189
rand = 3160, rand_cv = 446
rand = 3327, rand_cv = 4848
rand = 4679, rand_cv = 3792
rand = 1847, rand_cv = 3555
rand = 4815, rand_cv = 4105
rand = 1030, rand_cv = 3785
rand = 4136, rand_cv = 27
rand = 2118, rand_cv = 4848
rand = 1049, rand_cv = 1848
rand = 2051, rand_cv = 2695
rand = 4970, rand_cv = 4845
rand = 1584, rand_cv = 3417
rand = 4536, rand_cv = 2832
rand = 4980, rand_cv = 2144
rand = 4461, rand_cv = 344
rand = 364, rand_cv = 4483
rand = 1962, rand_cv = 3295
rand = 4913, rand_cv = 1403
rand = 3374, rand_cv = 2832
rand = 2596, rand_cv = 3915
rand = 449, rand_cv = 1877
rand = 4709, rand_cv = 4483
rand = 2191, rand_cv = 1906
rand = 3761, rand_cv = 4701
rand = 604, rand_cv = 3474
rand = 4604, rand_cv = 4014
rand = 1528, rand_cv = 1375
rand = 1807, rand_cv = 3780
rand = 1639, rand_cv = 2506
rand = 727, rand_cv = 298
rand = 1618, rand_cv = 3785
rand = 3109, rand_cv = 146
rand = 2483, rand_cv = 3270
rand = 4554, rand_cv = 198
rand = 2329, rand_cv = 4105
rand = 587, rand_cv = 944
rand = 2918, rand_cv = 405
rand = 4766, rand_cv = 4759
rand = 2850, rand_cv = 3137
rand = 2471, rand_cv = 226
rand = 2243, rand_cv = 4695
rand = 2989, rand_cv = 1906
rand = 1529, rand_cv = 353
rand = 1072, rand_cv = 555
rand = 3243, rand_cv = 400
rand = 4339, rand_cv = 3455
rand = 1142, rand_cv = 2182
rand = 4703, rand_cv = 3792
rand = 4512, rand_cv = 2393
rand = 2824, rand_cv = 1108
rand = 1304, rand_cv = 1441
rand = 4885, rand_cv = 1102
rand = 2964, rand_cv = 3765
rand = 1535, rand_cv = 1964
rand = 3308, rand_cv = 4459
rand = 3197, rand_cv = 1906
rand = 3392, rand_cv = 467
rand = 2144, rand_cv = 371
rand = 1331, rand_cv = 1108
rand = 3276, rand_cv = 1189
rand = 178, rand_cv = 3845
rand = 1051, rand_cv = 576
rand = 1892, rand_cv = 3046
rand = 3875, rand_cv = 4482
rand = 1706, rand_cv = 3242
rand = 3971, rand_cv = 344
rand = 2101, rand_cv = 601
rand = 4858, rand_cv = 4459
rand = 530, rand_cv = 807
rand = 3632, rand_cv = 4701
rand = 4972, rand_cv = 3845
rand = 4741, rand_cv = 3805
rand = 4998, rand_cv = 356
rand = 2528, rand_cv = 1369
rand = 2206, rand_cv = 3737
rand = 4251, rand_cv = 1306
rand = 4517, rand_cv = 278
rand = 3971, rand_cv = 4127
rand = 2257, rand_cv = 4624
rand = 3829, rand_cv = 371
rand = 4006, rand_cv = 1291
rand = 1482, rand_cv = 344
rand = 4399, rand_cv = 4814
rand = 2210, rand_cv = 2393
rand = 1540, rand_cv = 1720
rand = 3517, rand_cv = 1773
rand = 4020, rand_cv = 4345
rand = 4724, rand_cv = 2522
rand = 3628, rand_cv = 4840
rand = 2630, rand_cv = 394
rand = 473, rand_cv = 1435
rand = 471, rand_cv = 4839
rand = 2232, rand_cv = 1644
rand = 68, rand_cv = 4526
rand = 4097, rand_cv = 4759
rand = 4061, rand_cv = 4479
rand = 1695, rand_cv = 4731
rand = 4820, rand_cv = 2960
rand = 6, rand_cv = 2728
rand = 125, rand_cv = 3137
rand = 4630, rand_cv = 4934
rand = 3599, rand_cv = 4186
rand = 773, rand_cv = 2535
rand = 2436, rand_cv = 3032
rand = 1568, rand_cv = 4453
rand = 3956, rand_cv = 1891
rand = 1523, rand_cv = 3344
rand = 309, rand_cv = 653
rand = 1413, rand_cv = 1964
rand = 1507, rand_cv = 1361
rand = 1294, rand_cv = 4039
rand = 3064, rand_cv = 405
rand = 1647, rand_cv = 4155
rand = 4542, rand_cv = 3473
rand = 2413, rand_cv = 467
rand = 4141, rand_cv = 1983
rand = 344, rand_cv = 2832
rand = 383, rand_cv = 3145
rand = 4023, rand_cv = 356
rand = 3686, rand_cv = 4641
rand = 3809, rand_cv = 1375
rand = 4578, rand_cv = 298
rand = 418, rand_cv = 3705
rand = 2133, rand_cv = 3329
rand = 961, rand_cv = 448
rand = 2201, rand_cv = 2088
rand = 3428, rand_cv = 1877
rand = 917, rand_cv = 157
rand = 3230, rand_cv = 824
rand = 3362, rand_cv = 3644
rand = 1291, rand_cv = 1758
rand = 331, rand_cv = 4143
rand = 1735, rand_cv = 1336
rand = 4117, rand_cv = 32
rand = 4293, rand_cv = 3366
rand = 961, rand_cv = 4526
rand = 3034, rand_cv = 4479
rand = 2050, rand_cv = 3845
rand = 778, rand_cv = 4848
rand = 3525, rand_cv = 278
rand = 917, rand_cv = 12
rand = 173, rand_cv = 278
rand = 3808, rand_cv = 3547
rand = 2854, rand_cv = 4483
rand = 4011, rand_cv = 1622
rand = 1485, rand_cv = 344
rand = 4647, rand_cv = 1096
rand = 3424, rand_cv = 1773
rand = 3296, rand_cv = 4024
rand = 2511, rand_cv = 839
rand = 2130, rand_cv = 4497
rand = 2225, rand_cv = 3792
rand = 1376, rand_cv = 4459
rand = 4830, rand_cv = 4386

__________NEW____________
rand = 4781, rand_cv = 3646
rand = 2641, rand_cv = 4520
rand = 1471, rand_cv = 824
rand = 4358, rand_cv = 3646
rand = 3728, rand_cv = 3845
rand = 4091, rand_cv = 4057
rand = 1601, rand_cv = 4024
rand = 4752, rand_cv = 4482
rand = 2060, rand_cv = 1403
rand = 2565, rand_cv = 1009
rand = 2235, rand_cv = 2271
rand = 3137, rand_cv = 1758
rand = 2845, rand_cv = 2673
rand = 4370, rand_cv = 2832
rand = 1744, rand_cv = 1791
rand = 4771, rand_cv = 4105
rand = 1905, rand_cv = 3715
rand = 3461, rand_cv = 2832
rand = 1115, rand_cv = 2654
rand = 1164, rand_cv = 1253
rand = 3143, rand_cv = 12
rand = 4405, rand_cv = 1403
rand = 1929, rand_cv = 555
rand = 681, rand_cv = 344
rand = 3078, rand_cv = 4189
rand = 4692, rand_cv = 1306
rand = 4186, rand_cv = 2695
rand = 4071, rand_cv = 3646
rand = 329, rand_cv = 187
rand = 1575, rand_cv = 4483
rand = 2546, rand_cv = 4143
rand = 1343, rand_cv = 555
rand = 566, rand_cv = 939
rand = 2780, rand_cv = 3981
rand = 4818, rand_cv = 792
rand = 4854, rand_cv = 4577
rand = 1248, rand_cv = 561
rand = 3744, rand_cv = 3137
rand = 1094, rand_cv = 2144
rand = 3813, rand_cv = 12
rand = 2108, rand_cv = 32
rand = 562, rand_cv = 1207
rand = 3229, rand_cv = 2673
rand = 209, rand_cv = 4854
rand = 1356, rand_cv = 4127
